"Agent1","Agent2","Agent3","Agent4","Agent5","Agent6","Agent7","Aent8","Agent9","Agent10","Agent11","Agent12","Agent13","Agent14","Agent15","Agent16"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,2,3,4,5,6,8,7,10,9,11,12,14,13,16,16
4,2,2,4,6,5,8,7,10,9,12,10,13,16,16,16
4,3,2,4,5,5,8,7,12,9,11,11,13,10,15,15
1,3,11,3,6,5,8,5,9,3,11,11,13,12,13,16
3,3,2,4,2,8,8,9,12,11,3,12,16,13,8,16
3,6,11,3,7,5,12,7,5,11,3,3,3,5,16,16
2,12,2,4,4,10,8,3,4,9,3,11,6,5,3,16
12,11,11,8,8,6,8,7,12,9,3,11,9,5,2,15
2,3,3,1,5,3,15,8,5,3,8,11,9,11,13,16
3,6,2,4,5,5,3,3,4,11,8,3,3,4,2,7
3,3,11,4,13,5,3,2,3,11,7,9,13,3,13,16
10,5,2,3,7,10,8,2,4,13,3,10,13,7,3,8
12,16,2,3,3,3,6,2,5,11,4,16,2,3,11,3
3,3,11,3,5,5,8,2,4,2,3,11,14,11,4,7
12,11,4,11,7,2,7,2,3,11,11,11,3,3,2,12
